# layer class subject_idx subject_id channel_idx channel_name value
conv1 Right 0 13 0 Fp1 8.08730469e+03
conv1 Right 1 50 0 Fp1 2.80899160e+04
conv1 Right 2 12 0 Fp1 3.44821875e+04
conv1 Right 3 9 0 Fp1 2.42377754e+04
conv1 Right 4 40 0 Fp1 2.43782070e+04
conv1 Right 5 7 0 Fp1 3.22976777e+04
conv1 Right 6 41 0 Fp1 2.59802949e+04
conv1 Right 7 49 0 Fp1 1.36999932e+04
conv1 Right 8 3 0 Fp1 3.33908203e+04
conv1 Right 9 8 0 Fp1 1.77943105e+04

conv1 Right 0 13 1 Fpz 8.19559766e+03
conv1 Right 1 50 1 Fpz 2.81246387e+04
conv1 Right 2 12 1 Fpz 3.45481016e+04
conv1 Right 3 9 1 Fpz 2.42266641e+04
conv1 Right 4 40 1 Fpz 2.43414922e+04
conv1 Right 5 7 1 Fpz 3.23304004e+04
conv1 Right 6 41 1 Fpz 2.58601738e+04
conv1 Right 7 49 1 Fpz 1.36237969e+04
conv1 Right 8 3 1 Fpz 3.34351055e+04
conv1 Right 9 8 1 Fpz 1.77971074e+04

conv1 Right 0 13 2 Fp2 8.12724707e+03
conv1 Right 1 50 2 Fp2 2.81080566e+04
conv1 Right 2 12 2 Fp2 3.46185664e+04
conv1 Right 3 9 2 Fp2 2.42180000e+04
conv1 Right 4 40 2 Fp2 2.43902246e+04
conv1 Right 5 7 2 Fp2 3.22636953e+04
conv1 Right 6 41 2 Fp2 2.59092773e+04
conv1 Right 7 49 2 Fp2 1.37502568e+04
conv1 Right 8 3 2 Fp2 3.33790117e+04
conv1 Right 9 8 2 Fp2 1.77931504e+04

conv1 Right 0 13 3 AF7 8.26597559e+03
conv1 Right 1 50 3 AF7 2.85155137e+04
conv1 Right 2 12 3 AF7 3.51427656e+04
conv1 Right 3 9 3 AF7 2.46447871e+04
conv1 Right 4 40 3 AF7 2.48540918e+04
conv1 Right 5 7 3 AF7 3.29660391e+04
conv1 Right 6 41 3 AF7 2.64561777e+04
conv1 Right 7 49 3 AF7 1.39850283e+04
conv1 Right 8 3 3 AF7 3.39458516e+04
conv1 Right 9 8 3 AF7 1.80769316e+04

conv1 Right 0 13 4 AF3 8.34561133e+03
conv1 Right 1 50 4 AF3 2.85110020e+04
conv1 Right 2 12 4 AF3 3.51301914e+04
conv1 Right 3 9 4 AF3 2.47496914e+04
conv1 Right 4 40 4 AF3 2.48077207e+04
conv1 Right 5 7 4 AF3 3.30112734e+04
conv1 Right 6 41 4 AF3 2.62732148e+04
conv1 Right 7 49 4 AF3 1.39086201e+04
conv1 Right 8 3 4 AF3 3.39995078e+04
conv1 Right 9 8 4 AF3 1.81810410e+04

conv1 Right 0 13 5 AFz 8.49571387e+03
conv1 Right 1 50 5 AFz 2.87985449e+04
conv1 Right 2 12 5 AFz 3.61503320e+04
conv1 Right 3 9 5 AFz 2.49891895e+04
conv1 Right 4 40 5 AFz 2.52764043e+04
conv1 Right 5 7 5 AFz 3.32769961e+04
conv1 Right 6 41 5 AFz 2.66891895e+04
conv1 Right 7 49 5 AFz 1.41869727e+04
conv1 Right 8 3 5 AFz 3.45158906e+04
conv1 Right 9 8 5 AFz 1.85417930e+04

conv1 Right 0 13 6 AF4 8.38485645e+03
conv1 Right 1 50 6 AF4 2.83335723e+04
conv1 Right 2 12 6 AF4 3.51384688e+04
conv1 Right 3 9 6 AF4 2.45409395e+04
conv1 Right 4 40 6 AF4 2.46545762e+04
conv1 Right 5 7 6 AF4 3.27110098e+04
conv1 Right 6 41 6 AF4 2.61668066e+04
conv1 Right 7 49 6 AF4 1.39220156e+04
conv1 Right 8 3 6 AF4 3.37544922e+04
conv1 Right 9 8 6 AF4 1.80700938e+04

conv1 Right 0 13 7 AF8 8.23977832e+03
conv1 Right 1 50 7 AF8 2.85425137e+04
conv1 Right 2 12 7 AF8 3.49771016e+04
conv1 Right 3 9 7 AF8 2.45518340e+04
conv1 Right 4 40 7 AF8 2.47211582e+04
conv1 Right 5 7 7 AF8 3.27696133e+04
conv1 Right 6 41 7 AF8 2.62323066e+04
conv1 Right 7 49 7 AF8 1.39666191e+04
conv1 Right 8 3 7 AF8 3.38767109e+04
conv1 Right 9 8 7 AF8 1.81164004e+04

conv1 Right 0 13 8 F7 8.52800977e+03
conv1 Right 1 50 8 F7 2.94493730e+04
conv1 Right 2 12 8 F7 3.64897188e+04
conv1 Right 3 9 8 F7 2.53111699e+04
conv1 Right 4 40 8 F7 2.58224629e+04
conv1 Right 5 7 8 F7 3.40328477e+04
conv1 Right 6 41 8 F7 2.73247285e+04
conv1 Right 7 49 8 F7 1.44999971e+04
conv1 Right 8 3 8 F7 3.51581992e+04
conv1 Right 9 8 8 F7 1.88300215e+04

conv1 Right 0 13 9 F5 8.23000781e+03
conv1 Right 1 50 9 F5 2.84128457e+04
conv1 Right 2 12 9 F5 3.48916445e+04
conv1 Right 3 9 9 F5 2.44770117e+04
conv1 Right 4 40 9 F5 2.46997070e+04
conv1 Right 5 7 9 F5 3.27487676e+04
conv1 Right 6 41 9 F5 2.61169883e+04
conv1 Right 7 49 9 F5 1.38034707e+04
conv1 Right 8 3 9 F5 3.37915664e+04
conv1 Right 9 8 9 F5 1.79598496e+04

conv1 Right 0 13 10 F3 8.34435156e+03
conv1 Right 1 50 10 F3 2.87741602e+04
conv1 Right 2 12 10 F3 3.53952656e+04
conv1 Right 3 9 10 F3 2.48573145e+04
conv1 Right 4 40 10 F3 2.50855391e+04
conv1 Right 5 7 10 F3 3.32027344e+04
conv1 Right 6 41 10 F3 2.66272031e+04
conv1 Right 7 49 10 F3 1.40088857e+04
conv1 Right 8 3 10 F3 3.41936016e+04
conv1 Right 9 8 10 F3 1.81948184e+04

conv1 Right 0 13 11 F1 8.23634180e+03
conv1 Right 1 50 11 F1 2.86847754e+04
conv1 Right 2 12 11 F1 3.55128438e+04
conv1 Right 3 9 11 F1 2.49500000e+04
conv1 Right 4 40 11 F1 2.50466230e+04
conv1 Right 5 7 11 F1 3.30296641e+04
conv1 Right 6 41 11 F1 2.65343809e+04
conv1 Right 7 49 11 F1 1.41169834e+04
